name_en,translation,mid,frequency
UEFA Champions League,ΟΥΕΦΑ Τσάμπιονς Λιγκ,/m/0c1q0,417519
Brazil,Βραζιλία,/m/015fr,415328
Biography,Βιογραφία,/m/017fp,415301
Social Insurance Institute,Ίδρυμα Κοινωνικών Ασφαλίσεων,/m/04y95zq,414330
Therapy,Θεραπεία,/m/03c1dkx,411327
Minecraft,Minecraft,/m/09v6kpg,410112
London,Λονδίνο,/m/04jpl,409527
Germany,Γερμανία,/m/0345h,406303
Kozani,Κοζάνη,/m/01s2jm,405758
Jewellery,Κόσμημα,/m/0404d,404773
Nicosia,Λευκωσία,/m/0fqg8,403782
Magazine,Περιοδικό,/m/058sv,403668
Animal,Ζώο,/m/0jbk,400465
Tablet computer,Υπολογιστής ταμπλέτα,/m/0bh9flk,400221
Device driver,Οδηγός συσκευής,/m/02htf,399082
Serres,Σέρρες,/m/01s2c4,395209
Kavala,Καβάλα,/m/01j1b1,395029
October 28,28 Οκτωβρίου,/m/05ljw,393327
Mediterranean diet,Μεσογειακή διατροφή,/m/02c7v1,392921
Tractor,Τρακτέρ,/m/013xlm,392189
Wine,Κρασί,/m/081qc,391872
Man,Άνδρας,/m/04yx4,390407
Lamia,Λαμία,/m/02k6xg,388799
Library,Βιβλιοθήκη,/m/04h8h,387706
Xenon,Ξένο,/m/025sqqf,387093
Forthnet,Forthnet,/m/0cqj5y6,386778
Piraeus Bank,Τράπεζα Πειραιώς,/m/035906,386772
Business,Επιχείρηση,/m/09s1f,386425
Clock,Ρολόι,/m/01x3z,385022
OTE TV,OTE TV,/m/0b6jxyg,383572
Laptop,Φορητός υπολογιστής,/m/01c648,380198
Winter,Χειμώνας,/m/086mh,378369
Blog,Ιστολόγιο,/m/084dw,378366
Cat,Γάτα,/m/01yrx,377076
Battery,Μπαταρία,/m/01c0z,374709
Komotini,Κομοτηνή,/m/062n00,374321
Gold,Χρυσός,/m/025rs2z,372540
United Kingdom,Ηνωμένο Βασίλειο,/m/07ssc,372453
WIND Hellas,WIND Hellas,/m/0dbw0l,372082
NOVA Greece,NOVA,/m/0f4s41,371974
Insurance,Ασφάλεια,/m/03xks,371886
Psychology,Ψυχολογία,/m/05qfh,371829
System,Σύστημα,/m/0bj6r,370989
Suleiman the Magnificent,Σουλεϊμάν Α΄ ο Μεγαλοπρεπής,/m/06q17,370431
Astrology,Αστρολογία,/m/0wzm,368931
Pokémon,Πόκεμον,/m/05xwg,368606
Athens International Airport,Διεθνής Αερολιμένας Αθηνών «Ελευθέριος Βενιζέλος»,/m/0d20s,368268
Mary,Παναγία,/m/04n7gc6,366987
Fishing,Αλιεία,/m/094jc,366685
Eurobank Ergasias,Eurobank,/m/041n3f,365417
Organic farming,Βιολογική καλλιέργεια,/m/0jlhg,365139
Hellenic Open University,Ελληνικό Ανοικτό Πανεπιστήμιο,/m/0dtrr9,364064
Pellet fuel,Πέλλετ ξύλου,/m/08b43g,362970
Painting,Ζωγραφική,/m/05qdh,362883
Health,Υγεία,/m/0kt51,362587
Windows 8,Windows 8,/m/0gvswcc,359531
Salad,Σαλάτα,/m/0grw1,359322
Athens Mass Transit System,Σύστημα Μέσων Μαζικής Μεταφοράς Αθηνών,/m/0489zj,359271
Chalcis,Χαλκίδα,/m/016_r5,355895
Oil,Λάδι,/m/0bp_wy,355507
Fatmagül'ün Suçu Ne?,Ποιο είναι το έγκλημα της Φατμαγκιούλ,/m/0jt7l33,353954
Greek alphabet,Ελληνικό αλφάβητο,/m/0358gm,352921
Blood,Αίμα,/m/019jw,351664
Mantinada,Μαντινάδα,/m/0g_s7k,350904
Hellenic Broadcasting Corporation,Ελληνική Ραδιοφωνία Τηλεόραση,/m/01xb6q,350759
World Wide Web,Παγκόσμιος Ιστός,/m/0828v,347303
Spaghetti,Σπαγγέτι,/m/0772h,346492
PlayStation 3,PlayStation 3,/m/067gh,345947
FIBA EuroBasket 2013,Ευρωμπάσκετ 2013,/m/0806g0z,344641
Human,Άνθρωπος,/m/0dgw9r,343974
Italy,Ιταλία,/m/03rjj,343959
Herb,Βότανο,/m/03gq1,342408
Real Estate,Αγορά ακινήτων,/m/023907r,341545
Tax,Φορολογία,/m/07g82,340210
Epsilon,Έψιλον,/m/02ld7,340151
FIBA EuroBasket,Ευρωμπάσκετ,/m/03dqr5,339704
Olive,Ελιά,/m/05mln,339265
Rethymno,Ρέθυμνο,/m/03fzjh,335362
Time,Χρόνος,/m/07c_l,333931
"Honda Motor Company, Ltd",Honda,/m/03kr0,333774
Skai 100.3,ΣΚΑΪ Ραδιόφωνο,/m/065z93g,331781
Alfa-Beta Vassilopoulos,Άλφα Βήτα Βασιλόπουλος,/m/08yv5j,330307
Google Play,Play Store,/m/05n02d2,330021
Wedding dress,Νυφικό φόρεμα,/m/02c66t,328545
Thessaloniki Urban Transport Organization,Οργανισμός Αστικών Συγκοινωνιών Θεσσαλονίκης,/m/02rcd6m,328418
The Vampire Diaries,Τα Ημερολόγια ενός Βρικόλακα,/m/05sy2k_,326032
Beach,Παραλία,/m/0b3yr,324815
Electronics,Ηλεκτρονική,/m/02mrp,324713
Leaf,Φύλλο,/m/09t49,321442
Ryanair,Ryanair,/m/01m_zd,320438
Mushroom,Μανιτάρι,/m/052sf,318096
Municipality,Δήμος,/m/04t6r,317934
Bus,Λεωφορείο,/m/01bjv,317919
Heraklion,Νομός Ηρακλείου,/m/073_rf,317828
Hair,Τρίχα,/m/03q69,315844
Sex,Φύλο,/m/06ng1,315251
Day,Ημέρα,/m/02bbq,315143
Agrinio,Αγρίνιο,/m/0433fm,314577
Aris F.C.,Άρης Θεσσαλονίκης,/m/0263n1s,311342
Despicable Me,"Εγώ, ο Απαισιότατος",/m/06zkfsy,311070
Earth,Γη,/m/02j71,310294
Despicable Me 2,"Εγώ, ο Απαισιότατος 2",/m/0gwn31_,309738
Matrix,Πίνακας,/m/0xjzz,309115
Marousi,Μαρούσι,/m/02hr9b,308561
Fish,Ψάρι,/m/0ch_cf,308011
2012,2012,/m/047vnkj,307669
Calendar,Ημερολόγιο,/m/01mzw,306780
Eastern Orthodox liturgical calendar,Ορθόδοξο εορτολόγιο,/m/05gsk0,306482
Biscuit,Μπισκότο,/m/01tqs1,306413
Christmas worldwide,Χριστουγεννιάτικα έθιμα χωρών,/m/04sykj,304654
Hunting,Κυνήγι,/m/09p5m,304278
Unemployment,Ανεργία,/m/07s_c,302734
Energy,Ενέργεια,/m/02mm_,301825
Babiniotis dictionary court case,Λεξικό Μπαμπινιώτη,/m/0bmd3q1,301630
Despina Vandi Live,Live,/m/03qg1l8,301375
Plastic,Πλαστικό,/m/05z87,301095
Aegean Airlines,Aegean Airlines,/m/053bnz,300756
Honey,Μέλι,/m/03qmh,300666
Amazon.com,Amazon.com,/m/0mgkg,300410
Google Chrome,Google Chrome,/m/04j7cyf,299174
Bread,Ψωμί,/m/09728,298906
Kifisia,Κηφισιά,/m/02fyfw,297830
Veria,Βέροια,/m/01wfn1,297363
Actor,Ηθοποιός,/m/02hrh1q,297265
Larissa,Νομός Λάρισας,/m/072fx1,297078
2013–14 Superleague Greece,Super League Ελλάδας 2013-14,/m/0t51hf7,297012
Bershka,Μπέρσκα,/m/0h5f3x,295809
Manufacturing,Κατασκευές,/m/09t4t,295469
Joint-stock company,Ανώνυμη Εταιρεία,/m/01_jrm,293745
European Union,Ευρωπαϊκή Ένωση,/m/02jxk,292620
Karditsa,Καρδίτσα,/m/0564c1,291728
Economy,Οικονομία,/m/0gfps3,288237
BMW,BMW,/m/017yh,287717
Flower,Άνθος,/m/0c9ph5,287659
Pomegranate,Ροδιά,/m/0jwn_,286804
1,1,/m/05pvw,286006
To Vima,Το Βήμα,/m/06n040,285845
Paris,Παρίσι,/m/05qtj,285574
Bulgaria,Βουλγαρία,/m/015qh,285024
Life,Ζωή,/m/04nr2,284818
Light fixture,Φωτιστικό,/m/08jpwt,284150
iOS,iOS,/m/03wbl14,283764
Guitar,Κιθάρα,/m/0342h,283546
Domestic pig,Οικόσιτος χοίρος,/m/078qb0,283271
Greece national football team,Εθνική Ελλάδος,/m/035qgm,282384
Formula One,Φόρμουλα 1,/m/02xz2,281666
Horse,Άλογο,/m/03k3r,281625
Ministry of Education and Religious Affairs,"Υπουργείο Παιδείας, Διά Βίου Μάθησης και Θρησκευμάτων",/m/0bcjgx,281441
Software,Λογισμικό,/m/01mf0,281208
Barbie,Barbie,/m/015w6q,281198
Lemon,Λεμόνι,/m/09k_b,280942
Dream,Όνειρο,/m/0c673,279987
Tool,Εργαλείο,/m/07k1x,279968
Trikala,Νομός Τρικάλων,/m/072l5c,277539
Albania,Αλβανία,/m/0jdx,276772
German Language,Γερμανική γλώσσα,/m/04306rv,276421
Hour,Ώρα,/m/03mxv,275268
Tree,Δέντρο,/m/07j7r,275026
Magnificent Century,Σουλεϊμάν ο Μεγαλοπρεπής,/m/0g581c_,274307
Electric current,Ηλεκτρικό ρεύμα,/m/01vfy,274204
Geography,Γεωγραφία,/m/034ns,273864
French Language,Γαλλική γλώσσα,/m/064_8sq,273326
Breaking Bad,Breaking Bad,/m/03d34x8,272600
Turkey,Τουρκία,/m/01znc_,272001
Idea,Ιδέα,/m/015hcf,271970
Olympiacos S.C.,Ολυμπιακός,/m/0h6b8j,271573
Number,Αριθμός,/m/05fwb,271226
Mercedes-Benz,Mercedes-Benz,/m/052mx,271102
Pharmaceutical drug,Φάρμακο,/m/018l35,268753
Webcam,Web camera,/m/0mynm,268507
Mickey Mouse,Μίκυ Μάους,/m/057ph,268310
Grape,Σταφύλι,/m/0388q,267885
Vitamin,Βιταμίνη,/m/07zry,266703
Death of Pavlos Fyssas,Παύλος Φύσσας,/m/0x2frm_,266582
UEFA,UEFA,/m/07y9k,266244
Taxi,Ταξί,/m/0pg52,265954
Alexandroupoli,Αλεξανδρούπολη,/m/05sykp,264979
Server,Εξυπηρετητής,/m/0bkxj,264583
Istanbul,Κωνσταντινούπολη,/m/09949m,263783
DVD,DVD,/m/029j_,262272
Kilogram,Χιλιόγραμμο,/m/047dr,262218
Ioannina,Νομός Ιωαννίνων,/m/072d53,262028
Athens Prefecture,Νομαρχία Αθηνών,/m/0b2dnr,261996
Turkish Language,Τουρκική γλώσσα,/m/02hwyss,261947
Liquid,Υγρό,/m/04k94,260770
Serres,Νομός Σερρών,/m/05y5g7,260418
Microsoft Corporation,Microsoft,/m/04sv4,260098
Game of Thrones,Game of Thrones,/m/0524b41,259873
Syntax,Σύνταξη,/m/06nvh,258437
Firefox,Mozilla Firefox,/m/01dyhm,258227
Microsoft Word,Microsoft Word,/m/052yv,258142
Kallithea,Καλλιθέα Αττικής,/m/02qs48,257785
Rice,Ρύζι,/m/09759,256430
Gamma Ethniki,Γ΄ Εθνική ποδοσφαίρου ανδρών,/m/026j_9k,256180
Postgraduate education,Μεταπτυχιακό,/m/0143fl,255084
New Hellenic Television,ΝΕΤ,/m/09z74w,251750
Pump,Αντλία,/m/05wn0,251177
Tomato,Τομάτα,/m/07j87,250955
Army,Στρατός,/m/0pd7,250663
Technology,Τεχνολογία,/m/07c1v,250486
Limassol,Λεμεσός,/m/0ft08,250171
Society,Κοινωνία,/m/098wr,249816
Poseidon,Ποσειδώνας,/m/05ql5,249549
Beer,Μπίρα,/m/01599,249127
Train,Τρένο,/m/07jdr,248398
Quince,Κυδωνιά,/m/01r1wt,248025
Family,Οικογένεια,/m/09dhj,247782
Akis Tsochatzopoulos,Άκης Τσοχατζόπουλος,/m/0g55hs_,247622
Italian Language,Ιταλική γλώσσα,/m/02bjrlw,246803
Ground meat,Κιμάς,/m/02vkxl4,246576
New York City,Νέα Υόρκη,/m/02_286,246073
Autumn,Φθινόπωρο,/m/0134l,246048
Advertising,Διαφήμιση,/m/011s0,245961
Lawyer,Δικηγόρος,/m/04gc2,245469
War,Πόλεμος,/m/082cb,244452
Boiler,Λέβητας,/m/017ssg,244026
Leroy Merlin,Leroy Merlin,/m/04y8tkw,243658
2013–14 UEFA Champions League,ΟΥΕΦΑ Τσάμπιονς Λιγκ 2013-14,/m/0j7jm7x,241868
Baptism,Βάπτισμα,/m/01cvx,241816
Miley Cyrus,Μάιλι Σάιρους,/m/0bdxs5,241315
Liqueur,Λικέρ,/m/04qgp,241251
Paul the Apostle,Απόστολος Παύλος,/m/060nc,240276
Santorini,Σαντορίνη,/m/070t9,239870
Syria,Συρία,/m/06vbd,239455
Postal code,Ταχυδρομικός κώδικας,/m/0dll7,239262
Chios,Χίος,/m/04c1t,238655
Disc jockey,DJ,/m/02dsz,238491
Windows Live Messenger,Windows Live Messenger,/m/08nvdr,237464
Drama,Δράμα Μακεδονίας,/m/01s2br,236883
Tennis,Αντισφαίριση,/m/07bs0,236324
Microsoft Office,Microsoft Office,/m/052zb,236254
Egg,Αβγό,/m/02g387,236221
Cigarette,Τσιγάρο,/m/09k76,236019
Adobe Photoshop,Photoshop,/m/06710,235808
Limited liability company,Εταιρεία Περιορισμένης Ευθύνης,/m/01prdc,235551
Panathinaikos B.C.,Παναθηναϊκός,/m/0h4y62,235492
iPad,IPad,/m/09rvlp4,235287
Google Earth,Google Earth,/m/06ny5h,234969
Kozani,Νομός Κοζάνης,/m/073q2w,234863
Athens Polytechnic uprising,Εξέγερση του Πολυτεχνείου,/m/04k5t1,234858
Shopping mall,Εμπορικό κέντρο,/m/025s8bs,233849
Kastoria,Καστοριά,/m/01s2j6,233787
Katerini,Κατερίνη,/m/037dk_,233665
Egaleo,Αιγάλεω,/m/02nbrk,233648
Acid,Οξύ,/m/0hqs,233641
Biology,Βιολογία,/m/01540,233029
Textile,Ύφασμα,/m/0dnr7,232817
Computer file,Αρχείο,/m/020s1,230949
Windows XP,Windows XP,/m/085j0,230253
Politics,Πολιτική,/m/05qt0,229726
Beta,Βήτα,/m/0168c_,229434
Currency,Νομισματική μονάδα,/m/01q7l,228947
One Direction,One Direction,/m/0fqqnpw,228360
Yogurt,Γιαούρτι,/m/014l8n,228231
City,Πόλη,/m/01n32,228075
Sea,Θάλασσα,/m/06npx,228054
Lake,Λίμνη,/m/04h4w,227394
Nea Smyrni,Νέα Σμύρνη,/m/051ldt,226950
Religion,Θρησκεία,/m/06bvp,226760
Aluminium,Αργίλιο,/m/027vj2v,225823
Capital,Κεφάλαιο,/m/018s5w,225684
Lesbos,Λέσβος,/m/07t6b4,224342
Doctor of Medicine,Διδάκτωρ Ιατρικής,/m/027f2w,224026
Web search engine,Μηχανή αναζήτησης,/m/02wvbrv,223974
Cheese,Τυρί,/m/01nkt,222060
CYTA,Cyta,/m/025yx29,220972
Christian Church,Εκκλησία,/m/01vh7t,220496
Macedonia,Μακεδονία,/m/0808mg,220397
Latin Language,Λατινική γλώσσα,/m/04h9h,219561
Star,Αστέρας,/m/06ngk,219252
Cosmos,Κόσμος,/m/09nw6,218819
Yoga,Γιόγκα,/m/087zy,218358
Katerina Gogou,Κατερίνα Γώγου,/m/0bxzhp8,217995
Alexander the Great,Αλέξανδρος ο Μέγας,/m/0jrg,217312
Human tooth,Δόντι,/m/0hz0h,216872
Supreme Council for Personnel Selection,Ανώτατο Συμβούλιο Επιλογής Προσωπικού,/m/07_2wr,216684
Markos Seferlis,Μάρκος Σεφερλής,/m/0vsy6pk,215172
Sound,Ήχος,/m/06qc5,214864
Quino,Κίνο,/m/01vrpg,214643
Chord,Συγχορδία,/m/01gp74,214103
Dentistry,Οδοντιατρική,/m/0277g,213026
October,Οκτώβριος,/m/05lf_,212765
Undergarment,Εσώρουχο,/m/09j1x,212603
Vagina,Κόλπος,/m/07zgr,212495
Treason,Προδοσία,/m/07ppd,212383
Chemistry,Χημεία,/m/01lj9,212105
Ilias Kasidiaris,Ηλίας Κασιδιάρης,/m/0k9c189,211659
Protein,Πρωτεΐνη,/m/05wvs,211379
2013–14 Football League 2,Γ΄ Εθνική ποδοσφαίρου ανδρών 2013-2014,/m/0x244k_,210965
Theme,Θέμα,/m/012s05,210541
Heart,Καρδιά,/m/095_n,209850
Refrigerator,Ψυγείο,/m/040b_t,208946
Corinthia,Νομός Κορινθίας,/m/0516xl,207849
Kathimerini,Η Καθημερινή,/m/07xfvd,206865
Syndrome,Σύνδρομο,/m/01pgj4,206777
